escenario,escenario_nombre,descripcion_escenario,seccion,segmento,Variable,variable_fuente,Incidencia,Efecto,Formula,Comentario,Fuente
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,exportadora,Exportadores,Stock capital imputado,Capital fijo de maquinaria,0.0085,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Exportadores
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,Consumo intermedio,Consumo intermedio,0.227,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,VBP,VBP,0.10700000000000001,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,Consumo de capital fijo,Consumo de capital fijo,0.0106,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,mercado-interno,Mercado interno,Stock capital imputado,Capital fijo de maquinaria,0.0181,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,Consumo intermedio,Consumo intermedio,0.812,Negativo,CI* (T/CI)*(1+(tcp/tcc)),Transable/ consumo intermedio,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable; Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,Masa salarial,Masa salarial,0.453,Negativo,CI* (T/CI)*(1+(tcp/tcc)),Transable / masa salarial manufacturera,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable; Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,Intereses,Intereses,0.08470000000000001,Negativo,CI* (T/CI)*(1+(tcp/tcc)),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable; CIU 2006/2024
