anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,vab_pb_estimado,consumo_intermedio_estimado,capital_circulante_constante_adelantado,remuneraciones,capital_variable_adelantado,puestos_trabajo,n_empresas,fbcf,adquisiciones_importadas,consumo_capital_fijo,impuestos_netos,stock_capital,stock_capital_imputado,capital_total_adelantado,excedente_bruto,part_salarial,productividad
2003,I,2,Rev.3,7545694909.0,,3215599713.0,,3214209478.700345,4331485430.299655,,1331138827.0,,15423.0,837.0,407835768.0,4134443.0,581911564.0,185578578.0,15394752061.0,15394752061.0,,1884460886.0,0.41396285166293645,208493.78934059522
2003,L_M_N,2,Rev.3,10840882783.0,,5781255267.0,,5781173356.613131,5059709426.386869,,3250196651.0,,36576.0,1207.0,893749498.0,60040937.0,446760432.0,-81377996.0,3036697582.0,3036697582.0,,2531058616.0,0.5621956652826692,158061.44102690287
2003,P,2,Rev.3,4020897277.0,,3041969189.0,,3041969189.0,978928088.0,,2333305509.0,,30136.0,795.0,265611515.0,6872122.0,202734943.0,1700570.0,4535928555.0,4535928555.0,,708663680.0,0.7670378508228868,100941.37207990444
2003,Q,2,Rev.3,20144437327.0,,10367277432.0,,10367277432.0,9777159895.0,,8237357729.0,,54436.0,726.0,464436226.0,16922814.0,612598654.0,532348671.0,8950823549.0,8950823549.0,,2129919703.0,0.7945536118840887,190448.92042031008
2004,C,2,Rev.3,179010449525.0,,52621053735.0,,43545139291.050156,135465310233.94984,20525047005.143917,12139435357.0,1839308387.4242425,88653.0,3252.0,6396127195.0,1599697016.0,5136920717.0,7039185004.0,50525577181.0,50525577181.0,72889932573.56816,40481618378.0,0.23069540602767635,593562.0197286048
2004,D_E,2,Rev.3,18970896638.0,,16452542193.0,,16452542193.0,2518354445.0,,4318586343.0,,11278.0,8.0,1586645703.0,577445.0,3527584731.0,193662937.0,69005735625.0,69005735625.0,,12133955850.0,0.26248748019241747,1458817.360613584
2004,G,2,Rev.3,44736252618.0,,25542912801.0,,23329079549.06916,21407173068.93084,,8750816236.0,,80808.0,5540.0,2848082374.0,168379555.0,2071656593.0,891739416.0,14305115357.0,14305115357.0,,16792096565.0,0.3425927302878866,316093.86200623703
2004,H_J,2,Rev.3,54138973445.0,,18769614747.0,,18766374288.96419,35372599156.03581,,7257265654.0,,38895.0,1403.0,6988113014.0,443287668.0,4707582011.0,180141199.0,23318179581.0,23318179581.0,,11512349093.0,0.3866496863053595,482571.40370227536
2004,I,2,Rev.3,7527262326.0,,3225745138.0,,3224350517.4212437,4302911808.578756,,1362647439.0,,14104.0,810.0,564815404.0,0.0,618478957.0,151819588.0,12857715294.0,12857715294.0,,1863097699.0,0.4224287352859059,228711.36826432217
2004,L_M_N,2,Rev.3,12469844085.0,,6554832803.0,,6554739932.357559,5915104152.642441,,3515024005.0,,33674.0,1340.0,1110214370.0,128520209.0,454902760.0,-111867613.0,3709336385.0,3709336385.0,,3039808798.0,0.5362492241436353,194655.60381897012
2004,P,2,Rev.3,4122763764.0,,3114011412.0,,3114011412.0,1008752352.0,,2364813124.0,,28379.0,850.0,442468386.0,12004244.0,183943843.0,1516610.0,4097580261.0,4097580261.0,,749198288.0,0.7594105515757179,109729.4271115966
2004,Q,2,Rev.3,21510528473.0,,10967962939.0,,10967962939.0,10542565534.0,,8298900124.0,,52548.0,790.0,1020214687.0,20163040.0,640676128.0,524173728.0,9519982217.0,9519982217.0,,2669062815.0,0.756649176347112,208722.74756413183
2005,C,2,Rev.3,184862461743.0,,53991760706.0,,44679431019.22413,140183030723.77588,21239853139.96604,14615233399.0,2214429302.878788,102414.0,3445.0,6464007473.0,2116008436.0,5058292667.0,7651885206.0,52418214093.0,52418214093.0,75872496535.84482,39376527307.0,0.27069377267735295,527191.2112211221
2005,D_E,2,Rev.3,21452171857.0,,17681330593.0,,17681330593.0,3770841264.0,,3774749843.0,,10749.0,9.0,6130481812.0,0.0,3491133822.0,258939881.0,119415827794.0,119415827794.0,,13906580750.0,0.21348788334371255,1644927.9554377152
2005,G,2,Rev.3,52055365572.0,,30604340361.0,,27951827436.086506,24103538135.913494,,10891239572.0,,88696.0,5425.0,2485425948.0,146988046.0,1882974266.0,1327172831.0,14149463192.0,14149463192.0,,19713100789.0,0.3558723842281869,345047.5823148733
2005,H_J,2,Rev.3,58995279052.0,,22019098542.0,,22015297080.66084,36979981971.33916,,8354766526.0,,42234.0,1451.0,4434586962.0,1255663280.0,4755443419.0,10796371.0,23087450461.0,23087450461.0,,13664332016.0,0.37943272337256795,521359.53359852254
2005,I,2,Rev.3,8281031530.0,,3767948397.0,,3766319359.9405484,4514712170.059452,,1616158132.0,,15568.0,834.0,238518748.0,63255653.0,681078239.0,145165012.0,11692776848.0,11692776848.0,,2151790265.0,0.4289225758205096,242031.62878982528
2005,L_M_N,2,Rev.3,15934155356.0,,8374925674.0,,8374807015.789926,7559348340.210074,,5069118049.0,,41494.0,1455.0,1182629165.0,168007029.0,597692961.0,-97991671.0,4032805057.0,4032805057.0,,3305807625.0,0.6052731983923276,201834.61883645828
2005,P,2,Rev.3,4730612582.0,,3549115924.0,,3549115924.0,1181496658.0,,2735589275.0,,32524.0,873.0,308786468.0,14147369.0,169154791.0,3417836.0,3699553497.0,3699553497.0,,813526649.0,0.7707804798657797,109122.98376583446
2005,Q,2,Rev.3,23956912155.0,,12200114753.0,,12200114753.0,11756797402.0,,9682480142.0,,57805.0,846.0,1064310535.0,22668095.0,660363415.0,513505092.0,10580163208.0,10580163208.0,,2517634611.0,0.793638448328454,211056.39223250584
2006,C,3,Rev.3,185039597745.12485,,54017527699.07242,,44700753802.080215,140338843943.04462,21263461203.49161,13982311018.792448,2118531972.5443103,63928.85276538016,,6516136919.592743,2182756205.9103303,4256913615.7166758,8466464545.551817,57185676835.095085,57185676835.095085,80567670011.13101,40035216680.27997,0.2588476669403837,844963.1952151175
2006,D_E,3,Rev.3,23627751445.0,,13864356824.0,,13864356824.0,9763394621.0,,5083992799.0,,11021.0,,699869518.0,0.0,3628599926.0,-111678818.0,104426959200.0,104426959200.0,,8780364025.0,0.3666951784015913,1257994.4491425462
2006,G,3,Rev.3,39597751223.78816,,18057673171.190533,,16492594136.143444,23105157087.64472,,5922562988.596919,,30494.293053131783,,1469272662.0175345,107988550.5315883,1053962391.3146734,1096794324.0570793,10714230276.404305,10714230276.404305,,12135110182.593613,0.32798040658116795,592165.6599721041
2006,H_J,3,Rev.3,54381478711.35015,,26401243804.67881,,26396685793.030975,27984792918.319176,,7762570422.749028,,24730.43727817521,,8796636907.330074,763807216.8188365,6679596251.615976,323606018.7017942,33497340971.899036,33497340971.899036,,18638673381.929783,0.2940229058970832,1067560.7352878512
2006,I,3,Rev.3,4164254297.0,,2029545343.0000002,,2028667888.1547544,2135586408.8452456,,974332309.0,,5944.0,,243592110.84999996,76425378.36999999,628178378.0,10663152.0,11086284809.99,11086284809.99,,1055213034.0000002,0.48007417639646194,341444.37129878876
2006,L_M_N,3,Rev.3,5759534665.351019,,3605415437.9569397,,3605364355.4567366,2154170309.8942823,,2384834809.2245293,,17724.65474817378,,434412281.532599,65766764.44444443,207654221.11188006,21562497.017301038,2179585697.570638,2179585697.570638,,1220580628.7324104,0.661459088491597,203412.44944860862
2006,P,3,Rev.3,2006053848.508157,,1501638494.545454,,1501638494.545454,504415353.962703,,1281002871.4452207,,8781.421911421903,,103429067.76573424,7633798.018648014,107314072.61072254,-7579637.062937063,2216756136.058041,2216756136.058041,,220635623.10023332,0.853070080514272,171001.74774569125
2006,Q,3,Rev.3,21866393424.81646,,11832753263.251041,,11832753263.251041,10033640161.565418,,9970650180.396492,,43328.30158026006,,887370869.3168379,27594052.035032686,554258463.1901635,246304201.90534213,10380365177.855309,10380365177.855309,,1862103082.8545494,0.8426314618899661,273095.24794855854
2007,C,3,Rev.3,235394001073.2458,,70661648001.25597,,58474148394.01537,176919852679.2304,26806038284.73188,19975832217.423313,3026641245.0641384,100576.0122485965,,17359289524.518864,2050142695.5597494,5934830945.599859,8452985175.978956,88288212567.62341,88288212567.62341,118120892097.41943,50685815783.83266,0.28269694781344834,702569.5931013811
2007,D_E,3,Rev.3,29548256354.0,,17116101061.0,,17116101061.0,12432155293.0,,5846200050.0,,10867.0,,3583664449.0,0.0,4330014480.0,-72308127.0,99307451996.0,99307451996.0,,11269901011.0,0.3415614355842345,1575053.0101223888
2007,G,3,Rev.3,73746745969.88954,,38265122979.45882,,34948641327.53726,38798104642.35228,,13444886138.734596,,79220.2596892227,,4100430982.7395544,711805569.9419417,1809364854.9993513,1531540860.572067,19439330773.990833,19439330773.990833,,24820236840.72422,0.3513613727558637,483021.9331465343
2007,H_J,3,Rev.3,79851161477.83301,,36125294192.03862,,36119057383.16223,43732104094.67078,,12273618258.210033,,41934.09278958589,,11396300915.655525,1074880563.1153946,7641247089.147858,-362010682.6650483,43224549717.05405,43224549717.05405,,23851675933.828587,0.3397513717940856,861477.8999346838
2007,I,3,Rev.3,11163144742.666666,,4952789549.333334,,4950648257.342724,6212496485.323942,,2179920722.5,,15648.666666666666,,195801676.73944443,59212612.379999995,892399391.3888888,34311569.11111111,19524073684.561665,19524073684.561665,,2772868826.833334,0.4401399859183248,316499.1404592511
2007,L_M_N,3,Rev.3,13090542438.094612,,8247597508.931362,,8247480654.741138,4843061783.353474,,5021743121.036703,,37538.49583836387,,848226002.603641,132105468.87809524,428301089.36936677,35587754.764062375,3988143147.355363,3988143147.355363,,3225854387.894659,0.6088734465519969,219710.3886219762
2007,P,3,Rev.3,5443524134.524636,,4268874559.5070863,,4268874559.5070863,1174649575.01755,,3247046965.363165,,31985.537407830263,,279363983.34049875,11993854.766433567,192538649.29207456,-4924048.328219401,3798479287.085716,3798479287.085716,,1021827594.1439214,0.76063302402076,133462.64923039995
2007,Q,3,Rev.3,33131743522.517807,,17261273111.738853,,17261273111.738853,15870470410.778954,,13976350426.332382,,66667.82887456642,,1096182660.4003723,7091222.8100000005,722277802.1401227,279741915.2429936,14385347609.950039,14385347609.950039,,3284922685.4064713,0.8096940669357408,258914.58298747716
2008,B,4,Rev.4,776329531.0,,354765811.59999996,,354765811.59999996,421563719.40000004,,145858508.00000003,,868.2,,186931359.00000003,741150.0,23033390.2,7369482.999999999,334504590.8000001,334504590.8000001,,208907303.59999993,0.41114025994268055,408622.22022575437
2008,C,4,Rev.4,284995693319.8842,,80292211343.23563,,66443662351.10387,218552030968.78033,33113944086.17884,24291156273.87418,3680478223.31427,103902.6858070401,,17442926160.214355,3655133361.769164,8098413006.687781,7355810016.856363,107971212345.29555,107971212345.29555,144765634654.78867,56001055069.36145,0.3025344036177257,772763.5789160253
2008,D_E,4,Rev.4,28302771768.582287,,4729762478.959425,,4729762478.959425,23573009289.622864,,5256625206.642546,,11916.47631079172,,3559653461.5461884,733621.0978714054,4599267583.989702,35414088.21821612,89149482414.69542,89149482414.69542,,-526862727.6831207,1.111393062553753,396909.48528770107
2008,G,4,Rev.4,71883000731.10638,,43372822636.407524,,39613650856.326965,32269349874.77942,,16738002803.490889,,92823.46393313253,,5221207956.505035,978448093.2121584,2207489307.9390783,1828532184.354359,24604614010.62047,24604614010.62047,,26634819832.916634,0.38590992667931334,467261.4099776767
