fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2025,indice,109.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2020,variacion_anual,-2.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2021,variacion_anual,-1.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2022,variacion_anual,0.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2023,variacion_anual,-0.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2024,variacion_anual,2.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Textiles, Prendas, Curtiembres y Cuero",2025,variacion_anual,3.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2019,indice,112.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2020,indice,109.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2021,indice,108.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2022,indice,106.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2023,indice,106.0,indice_1995_100
