fuente,archivo,pagina,tabla,variable,variable_etiqueta,anno,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2019,8.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2020,10.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2021,9.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2022,7.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2023,8.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2024,8.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,desempleo,Desempleo,2025,8.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2019,1597.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2020,1566.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2021,1625.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2022,1657.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2023,1698.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2024,1733.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_personas_ocupadas_formales_e_informales,Total miles de personas ocupadas (formales e informales),2025,1901.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2019,117.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2020,112.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2021,116.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2022,118.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2023,131.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2024,127.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_la_construccion,en la construcción,2025,142.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2019,343.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2020,350.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2021,364.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2022,342.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2023,350.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2024,378.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_comercio_y_hoteles,en el comercio y hoteles,2025,395.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2019,115.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2020,115.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2021,119.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2022,125.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2023,123.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2024,129.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,en_el_transporte_servicios_de_informacion_y_comunicacion,"en el transporte, servicios de información y comunicación",2025,140.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2019,269.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2020,271.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2021,281.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2022,296.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2023,299.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2024,298.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,servicios_gubernamentales_educacion_y_salud,"Servicios gubernamentales, educación y salud",2025,325.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2019,243.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2020,245.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2021,251.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2022,266.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2023,264.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2024,252.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,empleados_publicos_miles_de_personas,Empleados públicos (miles de personas)***,2025,249.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2019,88.0,indice_o_nivel
