fuente,archivo,pagina,tabla,anno,trimestre,motivo,motivo_etiqueta,valor,unidad
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,otros_laborales,Otros laborales,15.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,paros,Paros,8.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,problemas_logisticos,Problemas logísticos,9.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,razones_estacionales,Razones estacionales,17.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,restricc_medioambientales,Restricc. medioambientales,2.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2008,1,suficiente_inventario,Suficiente inventario,8.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,aversion_riesgo_comercial,Aversión riesgo comercial,8.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,disp_personal_calificado,Disp. personal calificado,9.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,disp_personal_no_calificado,Disp. personal no calificado,4.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,financiamiento,Financiamiento,19.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,insuf_demanda_externa,Insuf. demanda externa,47.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,insuf_demanda_interna,Insuf. demanda interna,54.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,16.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,limitaciones_capacidad,Limitaciones capacidad,8.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,no_es_mas_rentable,No es más rentable,11.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,oferta_energetica,Oferta Energética,7.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,otros,Otros,2.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,otros_laborales,Otros laborales,7.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,paros,Paros,8.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,problemas_logisticos,Problemas logísticos,1.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,razones_estacionales,Razones estacionales,22.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,restricc_medioambientales,Restricc. medioambientales,2.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2009,1,suficiente_inventario,Suficiente inventario,22.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,aversion_riesgo_comercial,Aversión riesgo comercial,7.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,disp_personal_calificado,Disp. personal calificado,11.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,disp_personal_no_calificado,Disp. personal no calificado,2.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,financiamiento,Financiamiento,10.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,insuf_demanda_externa,Insuf. demanda externa,37.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,insuf_demanda_interna,Insuf. demanda interna,42.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,16.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,limitaciones_capacidad,Limitaciones capacidad,9.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,no_es_mas_rentable,No es más rentable,10.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,oferta_energetica,Oferta Energética,4.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,otros,Otros,18.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,otros_laborales,Otros laborales,8.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,paros,Paros,3.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,problemas_logisticos,Problemas logísticos,1.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,razones_estacionales,Razones estacionales,34.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,restricc_medioambientales,Restricc. medioambientales,2.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2010,1,suficiente_inventario,Suficiente inventario,15.3,porcentaje_respuestas
