fuente,archivo,tabla,anno,trimestre,variable,variable_etiqueta,medida,valor,unidad,nota
ciu,Encuesta-Industrial-3-trimestre-2020.pdf,encuesta_industrial_texto,2020,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-4.6,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2020.pdf,encuesta_industrial_texto,2020,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,-9.0,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2021.pdf,encuesta_industrial_texto,2021,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,10.9,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2021.pdf,encuesta_industrial_texto,2021,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,4.2,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2022.pdf,encuesta_industrial_texto,2022,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-1.3,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2022.pdf,encuesta_industrial_texto,2022,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,0.6,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2023.pdf,encuesta_industrial_texto,2023,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-0.3,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2023.pdf,encuesta_industrial_texto,2023,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2024.pdf,encuesta_industrial_texto,2024,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-1.2,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2024.pdf,encuesta_industrial_texto,2024,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2025.pdf,encuesta_industrial_texto,2025,3,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,5.7,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-3-trimestre-2025.pdf,encuesta_industrial_texto,2025,3,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2020.pdf,encuesta_industrial_texto,2020,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-5.4,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2020.pdf,encuesta_industrial_texto,2020,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,-5.4,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2021.pdf,encuesta_industrial_texto,2021,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,7.2,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2021.pdf,encuesta_industrial_texto,2021,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,1.0,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2022.pdf,encuesta_industrial_texto,2022,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,-8.8,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2022.pdf,encuesta_industrial_texto,2022,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2023.pdf,encuesta_industrial_texto,2023,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,3.8,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2023.pdf,encuesta_industrial_texto,2023,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2024.pdf,encuesta_industrial_texto,2024,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,0.7,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2024.pdf,encuesta_industrial_texto,2024,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2025.pdf,encuesta_industrial_texto,2025,4,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,Encuesta-Industrial-4-trimestre-2025.pdf,encuesta_industrial_texto,2025,4,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,encuesta-industrial-2-trimestre-2022.pdf,encuesta_industrial_texto,2022,2,ivfvi,Índice de volumen físico de las ventas industriales,variacion_interanual_extraida_del_texto,11.7,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
ciu,encuesta-industrial-2-trimestre-2022.pdf,encuesta_industrial_texto,2022,2,ipoi,Índice de personal ocupado en la industria,variacion_interanual_extraida_del_texto,5.6,porcentaje,Los niveles del indice estan en graficos no tabulares; pdftotext no recupera la serie de indice.
