fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,15_16,"Alimentos, Bebidas y Tabaco",2005,5.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,17_18_19,"Textiles, Vestimenta y Cuero",2005,7.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,20,Madera y productos de madera,2005,7.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,21_22,Papel e imprenta,2005,9.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,23,Prod. derivados del petroleo,2005,0.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,24_25,"Prod. quimicos, caucho y plastico",2005,7.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,26_27,Minerales no metalicos y metalicas basicas,2005,11.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,28_29_30,"Metalicos, Maq. y Equipos",2005,12.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,31_32_33,Maq. y aparatos electricos,2005,14.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,34_35,Vehiculos y equipo de transporte,2005,6.4,porcentaje
