anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2005,C,2,Rev.3,184862461743.0,,53991760706.0,,14615233399.0,102414.0,6464007473.0,2116008436.0,5058292667.0,7651885206.0,52418214093.0,39376527307.0,0.27069377267735295,527191.2112211221
2005,D_E,2,Rev.3,21452171857.0,,17681330593.0,,3774749843.0,10749.0,6130481812.0,0.0,3491133822.0,258939881.0,119415827794.0,13906580750.0,0.21348788334371255,1644927.9554377152
2005,G,2,Rev.3,52055365572.0,,30604340361.0,,10891239572.0,88696.0,2485425948.0,146988046.0,1882974266.0,1327172831.0,14149463192.0,19713100789.0,0.3558723842281869,345047.5823148733
2005,H_J,2,Rev.3,58995279052.0,,22019098542.0,,8354766526.0,42234.0,4434586962.0,1255663280.0,4755443419.0,10796371.0,23087450461.0,13664332016.0,0.37943272337256795,521359.53359852254
2005,I,2,Rev.3,8281031530.0,,3767948397.0,,1616158132.0,15568.0,238518748.0,63255653.0,681078239.0,145165012.0,11692776848.0,2151790265.0,0.4289225758205096,242031.62878982528
2005,L_M_N,2,Rev.3,15934155356.0,,8374925674.0,,5069118049.0,41494.0,1182629165.0,168007029.0,597692961.0,-97991671.0,4032805057.0,3305807625.0,0.6052731983923276,201834.61883645828
2005,P,2,Rev.3,4730612582.0,,3549115924.0,,2735589275.0,32524.0,308786468.0,14147369.0,169154791.0,3417836.0,3699553497.0,813526649.0,0.7707804798657797,109122.98376583446
2005,Q,2,Rev.3,23956912155.0,,12200114753.0,,9682480142.0,57805.0,1064310535.0,22668095.0,660363415.0,513505092.0,10580163208.0,2517634611.0,0.793638448328454,211056.39223250584
2006,C,3,Rev.3,185039597745.12485,,54017527699.07242,,13982311018.792448,63928.85276538016,6516136919.592743,2182756205.9103303,54017527699.07242,4256913615.7166758,57185676835.095085,40035216680.27997,0.2588476669403837,844963.1952151175
2006,D_E,3,Rev.3,23627751445.0,,13864356824.0,,5083992799.0,11021.0,699869518.0,0.0,13864356824.0,3628599926.0,104426959200.0,8780364025.0,0.3666951784015913,1257994.4491425462
2006,G,3,Rev.3,39597751223.78816,,18057673171.190533,,5922562988.596919,30494.293053131783,1469272662.0175345,107988550.5315883,18057673171.190533,1053962391.3146734,10714230276.404305,12135110182.593613,0.32798040658116795,592165.6599721041
2006,H_J,3,Rev.3,54381478711.35015,,26401243804.67881,,7762570422.749028,24730.43727817521,8796636907.330074,763807216.8188365,26401243804.67881,6679596251.615976,33497340971.899036,18638673381.929783,0.2940229058970832,1067560.7352878512
2006,I,3,Rev.3,4164254297.0,,2029545343.0000002,,974332309.0,5944.0,243592110.84999996,76425378.36999999,2029545343.0000002,628178378.0,11086284809.99,1055213034.0000002,0.48007417639646194,341444.37129878876
2006,L_M_N,3,Rev.3,5759534665.351019,,3605415437.9569397,,2384834809.2245293,17724.65474817378,434412281.532599,65766764.44444443,3605415437.9569397,207654221.11188006,2179585697.570638,1220580628.7324104,0.661459088491597,203412.44944860862
2006,P,3,Rev.3,2006053848.508157,,1501638494.545454,,1281002871.4452207,8781.421911421903,103429067.76573424,7633798.018648014,1501638494.545454,107314072.61072254,2216756136.058041,220635623.10023332,0.853070080514272,171001.74774569125
2006,Q,3,Rev.3,21866393424.81646,,11832753263.251041,,9970650180.396492,43328.30158026006,887370869.3168379,27594052.035032686,11832753263.251041,554258463.1901635,10380365177.855309,1862103082.8545494,0.8426314618899661,273095.24794855854
2007,C,3,Rev.3,235394001073.2458,,70661648001.25597,,19975832217.423313,100576.0122485965,17359289524.518864,2050142695.5597494,70661648001.25597,5934830945.599859,88288212567.62341,50685815783.83266,0.28269694781344834,702569.5931013811
