anno,nivel_validacion,grupo_o_division,variable,test,estado,valor_observado,valor_referencia,diferencia,diferencia_pct,mensaje
2001,cobertura,industria,filas_fuente,existe_fuente_anual,ok,12,1,11.0,1100.0,Seccion fuente esperada: D; observadas: D
2001,cobertura,industria,filas_aditivas,existe_base_para_homologacion,ok,11,1,10.0,1000.0,
2001,cobertura,industria,grupos_homologados,existe_panel_homologado,ok,10,1,9.0,900.0,
2001,estructura,fuente_aditiva,clave,sin_duplicados_division_descripcion,ok,0,0,0.0,,
2001,consistencia,15-16,vab_pp,no_nulo_en_fila_aditiva,ok,11830027000.0,no_nulo,,,
2001,consistencia,15-16,remuneraciones,no_nulo_en_fila_aditiva,ok,4509215000.0,no_nulo,,,
2001,consistencia,15-16,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,36886440000.0,11830027000.0,25056413000.0,211.80351490322042,
2001,consistencia,15-16,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,11830027000.0,4509215000.0,7320812000.0,162.35224978183564,
2001,consistencia,15-16,puestos_trabajo,puestos_trabajo_positivo,ok,41475.0,0,41475.0,,
2001,consistencia,17-18-19,vab_pp,no_nulo_en_fila_aditiva,ok,2687161000.0,no_nulo,,,
2001,consistencia,17-18-19,remuneraciones,no_nulo_en_fila_aditiva,ok,1332167000.0,no_nulo,,,
2001,consistencia,17-18-19,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,9732813000.0,2687161000.0,7045652000.0,262.19686873990804,
2001,consistencia,17-18-19,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,2687161000.0,1332167000.0,1354994000.0,101.71352390503594,
2001,consistencia,17-18-19,puestos_trabajo,puestos_trabajo_positivo,ok,15813.0,0,15813.0,,
2001,consistencia,20,vab_pp,no_nulo_en_fila_aditiva,ok,220869000.0,no_nulo,,,
2001,consistencia,20,remuneraciones,no_nulo_en_fila_aditiva,ok,127850000.0,no_nulo,,,
2001,consistencia,20,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,738710000.0,220869000.0,517841000.0,234.45617085240573,
2001,consistencia,20,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,220869000.0,127850000.0,93019000.0,72.75635510363708,
2001,consistencia,20,puestos_trabajo,puestos_trabajo_positivo,ok,2090.0,0,2090.0,,
2001,consistencia,21-22,vab_pp,no_nulo_en_fila_aditiva,ok,2193158000.0,no_nulo,,,
2001,consistencia,21-22,remuneraciones,no_nulo_en_fila_aditiva,ok,1086568000.0,no_nulo,,,
2001,consistencia,21-22,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,5172759000.0,2193158000.0,2979601000.0,135.8589303643422,
2001,consistencia,21-22,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,2193158000.0,1086568000.0,1106590000.0,101.84268264848588,
2001,consistencia,21-22,puestos_trabajo,puestos_trabajo_positivo,ok,7860.0,0,7860.0,,
2001,consistencia,23,vab_pp,no_nulo_en_fila_aditiva,ok,6963494000.0,no_nulo,,,
2001,consistencia,23,remuneraciones,no_nulo_en_fila_aditiva,ok,260236000.0,no_nulo,,,
2001,consistencia,23,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,13822409000.0,6963494000.0,6858915000.0,98.49818209077225,
2001,consistencia,23,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,6963494000.0,260236000.0,6703258000.0,2575.838085430148,
2001,consistencia,23,puestos_trabajo,puestos_trabajo_positivo,ok,956.0,0,956.0,,
2001,consistencia,24-25,vab_pp,no_nulo_en_fila_aditiva,ok,3338759000.0,no_nulo,,,
2001,consistencia,24-25,remuneraciones,no_nulo_en_fila_aditiva,ok,1696349000.0,no_nulo,,,
2001,consistencia,24-25,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,9384685000.0,3338759000.0,6045926000.0,181.0830311501968,
2001,consistencia,24-25,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,3338759000.0,1696349000.0,1642410000.0,96.82028874954386,
2001,consistencia,24-25,puestos_trabajo,puestos_trabajo_positivo,ok,9542.0,0,9542.0,,
2001,consistencia,26-27,vab_pp,no_nulo_en_fila_aditiva,ok,963448000.0,no_nulo,,,
2001,consistencia,26-27,remuneraciones,no_nulo_en_fila_aditiva,ok,592571000.0,no_nulo,,,
2001,consistencia,26-27,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2543878000.0,963448000.0,1580430000.0,164.03895176491105,
2001,consistencia,26-27,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,963448000.0,592571000.0,370877000.0,62.58777429202576,
2001,consistencia,26-27,puestos_trabajo,puestos_trabajo_positivo,ok,4463.0,0,4463.0,,
2001,consistencia,28-29-30,vab_pp,no_nulo_en_fila_aditiva,ok,959163000.0,no_nulo,,,
2001,consistencia,28-29-30,remuneraciones,no_nulo_en_fila_aditiva,ok,576392000.0,no_nulo,,,
2001,consistencia,28-29-30,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2762516000.0,959163000.0,1803353000.0,188.01319483758235,
2001,consistencia,28-29-30,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,959163000.0,576392000.0,382771000.0,66.40810420685922,
2001,consistencia,28-29-30,puestos_trabajo,puestos_trabajo_positivo,ok,6302.0,0,6302.0,,
2001,consistencia,31-32-33,vab_pp,no_nulo_en_fila_aditiva,ok,589176000.0,no_nulo,,,
2001,consistencia,31-32-33,remuneraciones,no_nulo_en_fila_aditiva,ok,348949000.0,no_nulo,,,
2001,consistencia,31-32-33,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,1717150000.0,589176000.0,1127974000.0,191.4494140969761,
2001,consistencia,31-32-33,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,589176000.0,348949000.0,240227000.0,68.84301144293292,
2001,consistencia,31-32-33,puestos_trabajo,puestos_trabajo_positivo,ok,3213.0,0,3213.0,,
2001,consistencia,34-35,vab_pp,no_nulo_en_fila_aditiva,ok,630961000.0,no_nulo,,,
2001,consistencia,34-35,remuneraciones,no_nulo_en_fila_aditiva,ok,305833000.0,no_nulo,,,
2001,consistencia,34-35,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2591127000.0,630961000.0,1960166000.0,310.6635750862573,
2001,consistencia,34-35,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,630961000.0,305833000.0,325128000.0,106.30899870190594,
2001,consistencia,34-35,puestos_trabajo,puestos_trabajo_positivo,ok,2509.0,0,2509.0,,
2001,consistencia,36,vab_pp,no_nulo_en_fila_aditiva,ok,389024000.0,no_nulo,,,
2001,consistencia,36,remuneraciones,no_nulo_en_fila_aditiva,ok,227199000.0,no_nulo,,,
2001,consistencia,36,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,1078655000.0,389024000.0,689631000.0,177.27209632310604,
2001,consistencia,36,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,389024000.0,227199000.0,161825000.0,71.22610574870488,
2001,consistencia,36,puestos_trabajo,puestos_trabajo_positivo,ok,2735.0,0,2735.0,,
2001,reconciliacion,fuente_aditiva_vs_panel_c,vbp_pp,suma_fuente_reconcilia_panel_principal,warning,86431142000.0,89240215000.0,-2809073000.0,-3.147765836288046,Referencia: data/analysis-data/20260605_panel_eaae.csv
2001,reconciliacion,fuente_aditiva_vs_panel_c,vab_pp,suma_fuente_reconcilia_panel_principal,warning,30765240000.0,32030854000.0,-1265614000.0,-3.9512340195487763,Referencia: data/analysis-data/20260605_panel_eaae.csv
2001,reconciliacion,fuente_aditiva_vs_panel_c,remuneraciones,suma_fuente_reconcilia_panel_principal,warning,11063329000.0,11462459000.0,-399130000.0,-3.4820626185009687,Referencia: data/analysis-data/20260605_panel_eaae.csv
2001,reconciliacion,fuente_aditiva_vs_panel_c,puestos_trabajo,suma_fuente_reconcilia_panel_principal,warning,96958.0,113817.0,-16859.0,-14.812374249892372,Referencia: data/analysis-data/20260605_panel_eaae.csv
2001,reconciliacion,homologado_total_vs_fuente_aditiva,vbp_pp,suma_homologada_reconcilia_fuente,ok,86431142000.0,86431142000.0,0.0,0.0,
2001,reconciliacion,homologado_total_vs_fuente_aditiva,vbp_pb,suma_homologada_reconcilia_fuente,ok,,,,,
2001,reconciliacion,homologado_total_vs_fuente_aditiva,vab_pp,suma_homologada_reconcilia_fuente,ok,30765240000.0,30765240000.0,0.0,0.0,
2001,reconciliacion,homologado_total_vs_fuente_aditiva,vab_pb,suma_homologada_reconcilia_fuente,ok,,,,,
