fuente,archivo,hoja,anno,variable,variable_etiqueta,valor,unidad,fuente_original
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_current,GDP,32.587,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_2005,GDP $Uy2005 (right axis),190200228.378193,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_price_index_base_2005,GDP Price index (base 2005),1.71329973038751e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,ipc_index_1983_1989,IPC,0.0026,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_current,GDP,52.51,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_2005,GDP $Uy2005 (right axis),192389265.01671,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_price_index_base_2005,GDP Price index (base 2005),2.72936226433627e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,ipc_index_1983_1989,IPC,0.0041,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,gdp_current,GDP,99.633,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,gdp_2005,GDP $Uy2005 (right axis),198944076.973621,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,gdp_price_index_base_2005,GDP Price index (base 2005),5.00809079192697e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,ipc_index_1983_1989,IPC,0.0071,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1967,gdp_current,GDP,169.785,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1967,gdp_2005,GDP $Uy2005 (right axis),190704444.68257,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1967,gdp_price_index_base_2005,GDP Price index (base 2005),8.90304367486604e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1967,ipc_index_1983_1989,IPC,0.0135,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1968,gdp_current,GDP,374.531,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1968,gdp_2005,GDP $Uy2005 (right axis),193729742.508836,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1968,gdp_price_index_base_2005,GDP Price index (base 2005),1.93326535796597e-06,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1968,ipc_index_1983_1989,IPC,0.0305,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1969,gdp_current,GDP,506.069,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1969,gdp_2005,GDP $Uy2005 (right axis),205560378.723748,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1969,gdp_price_index_base_2005,GDP Price index (base 2005),2.46189953113534e-06,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1969,ipc_index_1983_1989,IPC,0.037,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1970,gdp_current,GDP,601.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1970,gdp_2005,GDP $Uy2005 (right axis),209500252.389322,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1970,gdp_price_index_base_2005,GDP Price index (base 2005),2.86873162750725e-06,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1970,ipc_index_1983_1989,IPC,0.043,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1971,gdp_current,GDP,722.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1971,gdp_2005,GDP $Uy2005 (right axis),209751422.587879,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1971,gdp_price_index_base_2005,GDP Price index (base 2005),3.44216974117306e-06,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1971,ipc_index_1983_1989,IPC,0.053,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1972,gdp_current,GDP,1242.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1972,gdp_2005,GDP $Uy2005 (right axis),206494312.271117,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1972,gdp_price_index_base_2005,GDP Price index (base 2005),6.0146935106344e-06,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1972,ipc_index_1983_1989,IPC,0.094,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1973,gdp_current,GDP,2561.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1973,gdp_2005,GDP $Uy2005 (right axis),207247822.866786,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1973,gdp_price_index_base_2005,GDP Price index (base 2005),1.23571865053856e-05,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1973,ipc_index_1983_1989,IPC,0.185,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1974,gdp_current,GDP,4546.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1974,gdp_2005,GDP $Uy2005 (right axis),213762043.500309,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1974,gdp_price_index_base_2005,GDP Price index (base 2005),2.12666380128118e-05,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1974,ipc_index_1983_1989,IPC,0.327,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1975,gdp_current,GDP,8166.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1975,gdp_2005,GDP $Uy2005 (right axis),226296246.634713,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1975,gdp_price_index_base_2005,GDP Price index (base 2005),3.60854416343084e-05,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1975,ipc_index_1983_1989,IPC,0.59,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1976,gdp_current,GDP,12638.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1976,gdp_2005,GDP $Uy2005 (right axis),235314066.989329,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1976,gdp_price_index_base_2005,GDP Price index (base 2005),5.37069464724057e-05,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1976,ipc_index_1983_1989,IPC,0.89,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1977,gdp_current,GDP,19915.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1977,gdp_2005,GDP $Uy2005 (right axis),238076939.173448,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1977,gdp_price_index_base_2005,GDP Price index (base 2005),8.36494289163015e-05,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1977,ipc_index_1983_1989,IPC,1.41,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1978,gdp_current,GDP,30930.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1978,gdp_2005,GDP $Uy2005 (right axis),250603040.043383,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1978,gdp_price_index_base_2005,GDP Price index (base 2005),0.000123422285677962,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1978,ipc_index_1983_1989,IPC,2.04,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1979,gdp_current,GDP,57625.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1979,gdp_2005,GDP $Uy2005 (right axis),266062160.651296,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1979,gdp_price_index_base_2005,GDP Price index (base 2005),0.000216584725384997,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1979,ipc_index_1983_1989,IPC,3.41,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1980,gdp_current,GDP,92204.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1980,gdp_2005,GDP $Uy2005 (right axis),282023621.656323,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1980,gdp_price_index_base_2005,GDP Price index (base 2005),0.000326937153201872,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1980,ipc_index_1983_1989,IPC,5.58,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1981,gdp_current,GDP,122453.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1981,gdp_2005,GDP $Uy2005 (right axis),287379218.4707,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1981,gdp_price_index_base_2005,GDP Price index (base 2005),0.000426102488035282,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1981,ipc_index_1983_1989,IPC,7.47,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1982,gdp_current,GDP,128696.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1982,gdp_2005,GDP $Uy2005 (right axis),260390575.522607,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1982,gdp_price_index_base_2005,GDP Price index (base 2005),0.000494242158118456,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1982,ipc_index_1983_1989,IPC,9.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1983,gdp_current,GDP,175417.0,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1983,gdp_2005,GDP $Uy2005 (right axis),232443896.142747,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1983,gdp_price_index_base_2005,GDP Price index (base 2005),0.000754663826028256,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1983,ipc_index_1983_1989,IPC,13.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1984,gdp_current,GDP,272954.08715393,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1984,gdp_2005,GDP $Uy2005 (right axis),231541422.88324,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1984,gdp_price_index_base_2005,GDP Price index (base 2005),0.0011788563953482,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1984,ipc_index_1983_1989,IPC,21.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1985,gdp_current,GDP,485478.939341706,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1985,gdp_2005,GDP $Uy2005 (right axis),236630176.924493,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1985,gdp_price_index_base_2005,GDP Price index (base 2005),0.00205163578733502,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1985,ipc_index_1983_1989,IPC,35.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1986,gdp_current,GDP,909600.670579714,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1986,gdp_2005,GDP $Uy2005 (right axis),259420983.001126,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1986,gdp_price_index_base_2005,GDP Price index (base 2005),0.00350627254610228,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1986,ipc_index_1983_1989,IPC,63.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1987,gdp_current,GDP,1709288.33253924,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1987,gdp_2005,GDP $Uy2005 (right axis),281993944.764623,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1987,gdp_price_index_base_2005,GDP Price index (base 2005),0.00606143629774023,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1987,ipc_index_1983_1989,IPC,102.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1988,gdp_current,GDP,3050908.43235916,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1988,gdp_2005,GDP $Uy2005 (right axis),288166569.13432,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1988,gdp_price_index_base_2005,GDP Price index (base 2005),0.0105873087274641,Base 2005,Oyanthabal
