anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2005,I,2,Rev.3,8281031530,,3767948397,,1616158132,15568,238518748,63255653,681078239,145165012,11692776848,2151790265,0.42892257582051,242031.628789825
2005,L_M_N,2,Rev.3,15934155356,,8374925674,,5069118049,41494,1182629165,168007029,597692961,-97991671,4032805057,3305807625,0.605273198392328,201834.618836458
2005,P,2,Rev.3,4730612582,,3549115924,,2735589275,32524,308786468,14147369,169154791,3417836,3699553497,813526649,0.77078047986578,109122.983765834
2005,Q,2,Rev.3,23956912155,,12200114753,,9682480142,57805,1064310535,22668095,660363415,513505092,10580163208,2517634611,0.793638448328454,211056.392232506
2006,C,3,Rev.3,185039597745.125,,54017527699.0724,,13982311018.7924,63928.8527653802,6516136919.59274,2182756205.91033,54017527699.0724,4256913615.71668,57185676835.0951,40035216680.28,0.258847666940384,844963.195215118
2006,D_E,3,Rev.3,23627751445,,13864356824,,5083992799,11021,699869518,0,13864356824,3628599926,104426959200,8780364025,0.366695178401591,1257994.44914255
2006,G,3,Rev.3,39597751223.7882,,18057673171.1905,,5922562988.59692,30494.2930531318,1469272662.01753,107988550.531588,18057673171.1905,1053962391.31467,10714230276.4043,12135110182.5936,0.327980406581168,592165.659972104
2006,H_J,3,Rev.3,54381478711.3502,,26401243804.6788,,7762570422.74903,24730.4372781752,8796636907.33007,763807216.818836,26401243804.6788,6679596251.61598,33497340971.899,18638673381.9298,0.294022905897083,1067560.73528785
2006,I,3,Rev.3,4164254297,,2029545343,,974332309,5944,243592110.85,76425378.37,2029545343,628178378,11086284809.99,1055213034,0.480074176396462,341444.371298789
2006,L_M_N,3,Rev.3,5759534665.35102,,3605415437.95694,,2384834809.22453,17724.6547481738,434412281.532599,65766764.4444444,3605415437.95694,207654221.11188,2179585697.57064,1220580628.73241,0.661459088491597,203412.449448609
2006,P,3,Rev.3,2006053848.50816,,1501638494.54545,,1281002871.44522,8781.4219114219,103429067.765734,7633798.01864801,1501638494.54545,107314072.610723,2216756136.05804,220635623.100233,0.853070080514272,171001.747745691
2006,Q,3,Rev.3,21866393424.8165,,11832753263.251,,9970650180.39649,43328.3015802601,887370869.316838,27594052.0350327,11832753263.251,554258463.190163,10380365177.8553,1862103082.85455,0.842631461889966,273095.247948559
2007,C,3,Rev.3,235394001073.246,,70661648001.256,,19975832217.4233,100576.012248596,17359289524.5189,2050142695.55975,70661648001.256,5934830945.59986,88288212567.6234,50685815783.8327,0.282696947813448,702569.593101381
2007,D_E,3,Rev.3,29548256354,,17116101061,,5846200050,10867,3583664449,0,17116101061,4330014480,99307451996,11269901011,0.341561435584235,1575053.01012239
2007,G,3,Rev.3,73746745969.8895,,38265122979.4588,,13444886138.7346,79220.2596892227,4100430982.73955,711805569.941942,38265122979.4588,1809364854.99935,19439330773.9908,24820236840.7242,0.351361372755864,483021.933146534
2007,H_J,3,Rev.3,79851161477.833,,36125294192.0386,,12273618258.21,41934.0927895859,11396300915.6555,1074880563.11539,36125294192.0386,7641247089.14786,43224549717.054,23851675933.8286,0.339751371794086,861477.899934684
2007,I,3,Rev.3,11163144742.6667,,4952789549.33333,,2179920722.5,15648.6666666667,195801676.739444,59212612.38,4952789549.33333,892399391.388889,19524073684.5617,2772868826.83333,0.440139985918325,316499.140459251
2007,L_M_N,3,Rev.3,13090542438.0946,,8247597508.93136,,5021743121.0367,37538.4958383639,848226002.603641,132105468.878095,8247597508.93136,428301089.369367,3988143147.35536,3225854387.89466,0.608873446551997,219710.388621976
2007,P,3,Rev.3,5443524134.52464,,4268874559.50709,,3247046965.36316,31985.5374078303,279363983.340499,11993854.7664336,4268874559.50709,192538649.292075,3798479287.08572,1021827594.14392,0.76063302402076,133462.6492304
