fuente,archivo,pagina,tabla,rama_codigo,rama_descripcion,anno,periodo,valor,unidad
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2017,anio,91.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2019,anio,95.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2020,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2021,anio,118.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2022,anio,126.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2023,anio,130.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2024,anio,146.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1013,"Matanza, preparación y conservación de pollos y gallinas.",2025,ene_jul,150.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2014,anio,212.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2015,anio,134.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2016,anio,88.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2017,anio,107.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2019,anio,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2020,anio,99.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2021,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2022,anio,109.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2023,anio,114.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2024,anio,79.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos.",2025,ene_jul,86.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2014,anio,117.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2015,anio,112.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2016,anio,115.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2017,anio,116.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2018,anio,100.0,indice_2018_100
