fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,210.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,632.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,583.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,601.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,279.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,682.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,657.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,651.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,274.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,639.0,indice_2002_100
