fuente,archivo,pagina,tabla,variable,variable_etiqueta,anno,valor,unidad
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,ied_industria_mill_de_usd_sin_zonas_francas,IED Industria (mill. de USD) Sin Zonas Francas,2023,,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2018,149.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2019,217.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2020,189.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2021,55.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2022,157.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,proy_industriales_interes_nacional_mill_de_usd,Proy. Industriales - Interés Nacional (mill. de USD)***,2023,71.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,imeq_total_economia_base_2002_100,IMEQ Total Economía Base 2002=100,2018,455.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,imeq_total_economia_base_2002_100,IMEQ Total Economía Base 2002=100,2019,451.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,imeq_total_economia_base_2002_100,IMEQ Total Economía Base 2002=100,2020,435.0,indice_o_nivel
